case_id,user_id,department,previous_department,application,role,entitlement,hire_date,entitlement_grant_date,department_change_date,last_recertification_date,user_status,last_login_days,stale_access_days,privilege_level,toxic_combo,business_need,entitlement_owner,manager_name,assignment_type,source_role,effective_permission,risk_score,recommendation,rule_explanation,confidence,history_events
CASE-0011,USR-4608,IT,,ERP,Manager,read_reports,2020-09-14,2021-01-19,,2026-01-07,terminated,181,323,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Sven Berger,Role-derived,IT_Manager_Base,False,53,review,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); terminated_user_orphan (+30),73.8,2020-09-14|Joiner|Eintritt ins Unternehmen;2021-01-19|Grant|Berechtigung 'read_reports' zugewiesen;2025-09-12|Login|Letzter Login;2026-01-07|Recert|Letzte Rezertifizierung (bestätigt);2026-01-26|Leaver|Austritt aus dem Unternehmen
CASE-0012,USR-7669,Legal,,CRM,Employee,read_reports,2024-10-16,2025-02-03,,2025-11-09,active,24,337,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Markus Hahn,Role-derived,Legal_Employee_Base,True,-27,retain,recent_login<=30d (-10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2024-10-16|Joiner|Eintritt ins Unternehmen;2025-02-03|Grant|Berechtigung 'read_reports' zugewiesen;2025-11-09|Recert|Letzte Rezertifizierung (bestätigt);2026-02-16|Login|Letzter Login
CASE-0013,USR-8350,IT,,CRM,Employee,export_data,2020-06-14,2020-07-16,,2025-12-11,active,46,142,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Sven Berger,Role-derived,IT_Employee_Base,True,-17,retain,inactive_login>30d (+10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2020-06-14|Joiner|Eintritt ins Unternehmen;2020-07-16|Grant|Berechtigung 'export_data' zugewiesen;2025-12-11|Recert|Letzte Rezertifizierung (bestätigt);2026-01-25|Login|Letzter Login
CASE-0014,USR-8886,Finance,Operations,CRM,Admin,export_data,2025-07-09,2025-08-04,2025-09-26,2025-11-15,active,15,84,low,1,Berechtigung ist für die Rolle 'Admin' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Lars Hoffmann,Role-derived,Finance_Admin_Base,True,32,retain,recent_login<=30d (-10); access_used_last_quarter (-8); low_privilege (-10); toxic_combination (+40); sensitive_role (+10); dept_change_privilege_creep (+15); active_user (-5),54.2,2025-07-09|Joiner|Eintritt ins Unternehmen;2025-08-04|Grant|Berechtigung 'export_data' zugewiesen;2025-09-26|Mover|Abteilungswechsel von Operations nach Finance;2025-11-15|Recert|Letzte Rezertifizierung (bestätigt);2026-02-25|Login|Letzter Login
CASE-0015,USR-3536,Legal,,CRM,Analyst,manage_identities,2022-07-19,2023-02-21,,,active,55,495,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Sara Vogel,Role-derived,Legal_Analyst_Base,True,5,retain,inactive_login>30d (+10); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),92.0,2022-07-19|Joiner|Eintritt ins Unternehmen;2023-02-21|Grant|Berechtigung 'manage_identities' zugewiesen;2026-01-16|Login|Letzter Login
CASE-0016,USR-2122,Operations,,Ticketing,Employee,read_reports,2025-11-24,2026-01-25,,2025-06-15,active,172,441,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Lea Richter,Role-derived,Operations_Employee_Base,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2025-06-15|Recert|Letzte Rezertifizierung (bestätigt);2025-09-21|Login|Letzter Login;2025-11-24|Joiner|Eintritt ins Unternehmen;2026-01-25|Grant|Berechtigung 'read_reports' zugewiesen
CASE-0017,USR-4910,Operations,,IAM,Employee,export_data,2020-04-07,2020-11-08,,2025-08-19,active,33,343,medium,0,Direkte Zuweisung für eine operative Tätigkeit in 'IAM' (Berechtigung: 'export_data').,Data Compliance Owner,Lea Richter,Direct,,True,13,retain,inactive_login>30d (+10); stale_access>180d (+18); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),80.8,2020-04-07|Joiner|Eintritt ins Unternehmen;2020-11-08|Grant|Berechtigung 'export_data' zugewiesen;2025-08-19|Recert|Letzte Rezertifizierung (bestätigt);2026-02-07|Login|Letzter Login
CASE-0018,USR-7054,Legal,HR,IAM,Manager,approve_payments,2025-08-30,2025-09-25,2025-12-31,2025-07-15,active,112,426,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Sara Vogel,Role-derived,Legal_Manager_Base,True,35,review,inactive_login>60d (+20); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),50.0,2025-07-15|Recert|Letzte Rezertifizierung (bestätigt);2025-08-30|Joiner|Eintritt ins Unternehmen;2025-09-25|Grant|Berechtigung 'approve_payments' zugewiesen;2025-11-20|Login|Letzter Login;2025-12-31|Mover|Abteilungswechsel von HR nach Legal
CASE-0019,USR-6617,Finance,,CRM,Manager,user_support,2020-07-05,2020-09-12,,2025-06-27,active,162,436,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'CRM' (Berechtigung: 'user_support').,Service Desk Owner,Nina Weber,Direct,,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2020-07-05|Joiner|Eintritt ins Unternehmen;2020-09-12|Grant|Berechtigung 'user_support' zugewiesen;2025-06-27|Recert|Letzte Rezertifizierung (bestätigt);2025-10-01|Login|Letzter Login
CASE-0020,USR-2832,Sales,HR,ERP,Employee,user_support,2022-06-14,2022-07-07,2023-07-02,2025-03-16,active,38,279,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Pia Walter,Role-derived,Sales_Employee_Base,True,13,retain,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),80.8,2022-06-14|Joiner|Eintritt ins Unternehmen;2022-07-07|Grant|Berechtigung 'user_support' zugewiesen;2023-07-02|Mover|Abteilungswechsel von HR nach Sales;2025-03-16|Recert|Letzte Rezertifizierung (bestätigt);2026-02-02|Login|Letzter Login
CASE-0021,USR-7658,HR,,Ticketing,Employee,user_support,2023-06-09,2023-06-30,,2025-12-23,active,39,473,high,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Mara Klein,Role-derived,HR_Employee_Base,True,40,review,inactive_login>30d (+10); stale_access>365d (+30); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2023-06-09|Joiner|Eintritt ins Unternehmen;2023-06-30|Grant|Berechtigung 'user_support' zugewiesen;2025-12-23|Recert|Letzte Rezertifizierung (bestätigt);2026-02-01|Login|Letzter Login
CASE-0022,USR-2771,Legal,,Payroll,Employee,read_reports,2023-01-27,2023-08-26,,,active,120,113,low,1,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Markus Hahn,Role-derived,Legal_Employee_Base,True,48,review,inactive_login>60d (+20); stale_access>90d (+8); low_privilege (-10); toxic_combination (+40); no_department_change (-5); active_user (-5),68.2,2023-01-27|Joiner|Eintritt ins Unternehmen;2023-08-26|Grant|Berechtigung 'read_reports' zugewiesen;2025-11-12|Login|Letzter Login
CASE-0023,USR-6753,Operations,HR,BI,Analyst,admin_console,2021-11-25,2022-03-20,2024-02-20,,active,102,347,high,0,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'admin_console').,Security Operations Owner,Lea Richter,Direct,,True,58,review,inactive_login>60d (+20); stale_access>180d (+18); high_privilege (+25); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),66.8,2021-11-25|Joiner|Eintritt ins Unternehmen;2022-03-20|Grant|Berechtigung 'admin_console' zugewiesen;2024-02-20|Mover|Abteilungswechsel von HR nach Operations;2025-11-30|Login|Letzter Login
CASE-0024,USR-6139,IT,,Payroll,Contractor,admin_console,2021-05-08,2022-03-02,,2025-09-04,terminated,130,59,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Payroll' (Berechtigung: 'admin_console').,Security Operations Owner,Julia Neumann,Direct,,False,37,review,inactive_login>120d (+35); access_used_last_quarter (-8); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); terminated_user_orphan (+30),52.8,2021-05-08|Joiner|Eintritt ins Unternehmen;2022-03-02|Grant|Berechtigung 'admin_console' zugewiesen;2025-09-04|Recert|Letzte Rezertifizierung (bestätigt);2025-11-02|Login|Letzter Login;2026-02-13|Leaver|Austritt aus dem Unternehmen
CASE-0025,USR-5920,Finance,,Ticketing,Contractor,manage_identities,2025-05-21,2025-08-30,,2025-05-14,active,170,209,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Ticketing' (Berechtigung: 'manage_identities').,IAM Platform Owner,Nina Weber,Direct,,True,28,retain,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),59.8,2025-05-14|Recert|Letzte Rezertifizierung (bestätigt);2025-05-21|Joiner|Eintritt ins Unternehmen;2025-08-30|Grant|Berechtigung 'manage_identities' zugewiesen;2025-09-23|Login|Letzter Login
CASE-0026,USR-5978,HR,,IAM,Analyst,approve_payments,2023-08-07,2024-07-19,,2025-03-12,active,110,402,medium,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Tobias Franke,Role-derived,HR_Analyst_Base,True,35,review,inactive_login>60d (+20); stale_access>365d (+30); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),50.0,2023-08-07|Joiner|Eintritt ins Unternehmen;2024-07-19|Grant|Berechtigung 'approve_payments' zugewiesen;2025-03-12|Recert|Letzte Rezertifizierung (bestätigt);2025-11-22|Login|Letzter Login
CASE-0027,USR-6491,Legal,,ERP,Analyst,approve_payments,2025-01-29,2025-09-29,,2026-01-30,active,172,158,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'ERP' (Berechtigung: 'approve_payments').,Finance Access Owner,Sara Vogel,Direct,,True,8,retain,inactive_login>120d (+35); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),87.8,2025-01-29|Joiner|Eintritt ins Unternehmen;2025-09-21|Login|Letzter Login;2025-09-29|Grant|Berechtigung 'approve_payments' zugewiesen;2026-01-30|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0028,USR-4997,Legal,,CRM,Contractor,user_support,2020-03-01,2020-10-21,,2025-10-02,active,176,2,high,0,Berechtigung ist für die Rolle 'Contractor' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Sara Vogel,Role-derived,Legal_Contractor_Base,True,33,retain,inactive_login>120d (+35); access_recently_used<=30d (-12); high_privilege (+25); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),52.8,2020-03-01|Joiner|Eintritt ins Unternehmen;2020-10-21|Grant|Berechtigung 'user_support' zugewiesen;2025-09-17|Login|Letzter Login;2025-10-02|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0029,USR-6198,Finance,HR,Payroll,Employee,admin_console,2025-02-26,2025-10-22,2026-01-18,2025-12-23,active,184,456,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Lars Hoffmann,Role-derived,Finance_Employee_Base,True,50,review,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),71.0,2025-02-26|Joiner|Eintritt ins Unternehmen;2025-09-09|Login|Letzter Login;2025-10-22|Grant|Berechtigung 'admin_console' zugewiesen;2025-12-23|Recert|Letzte Rezertifizierung (bestätigt);2026-01-18|Mover|Abteilungswechsel von HR nach Finance
CASE-0030,USR-8939,HR,,BI,Analyst,approve_payments,2024-09-02,2025-04-21,,,active,70,225,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Tobias Franke,Role-derived,HR_Analyst_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2024-09-02|Joiner|Eintritt ins Unternehmen;2025-04-21|Grant|Berechtigung 'approve_payments' zugewiesen;2026-01-01|Login|Letzter Login
CASE-0031,USR-8633,HR,Sales,Payroll,Admin,read_reports,2020-04-02,2020-06-12,2022-12-05,2025-12-14,terminated,52,426,low,1,Berechtigung ist für die Rolle 'Admin' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Mara Klein,Role-derived,HR_Admin_Base,True,125,revoke,inactive_login>30d (+10); stale_access>365d (+30); low_privilege (-10); toxic_combination (+40); sensitive_role (+10); dept_change_privilege_creep (+15); terminated_user_orphan (+30),99.0,2020-04-02|Joiner|Eintritt ins Unternehmen;2020-06-12|Grant|Berechtigung 'read_reports' zugewiesen;2022-12-05|Mover|Abteilungswechsel von Sales nach HR;2025-12-14|Recert|Letzte Rezertifizierung (bestätigt);2026-01-19|Login|Letzter Login;2026-02-04|Leaver|Austritt aus dem Unternehmen
CASE-0032,USR-4613,Sales,,Payroll,Manager,approve_payments,2023-04-17,2023-09-17,,,active,69,223,low,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,David Brandt,Role-derived,Sales_Manager_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2023-04-17|Joiner|Eintritt ins Unternehmen;2023-09-17|Grant|Berechtigung 'approve_payments' zugewiesen;2026-01-02|Login|Letzter Login
CASE-0033,USR-3223,Sales,,Payroll,Admin,approve_payments,2020-10-11,2021-08-26,,2025-10-17,active,12,133,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Payroll' (Berechtigung: 'approve_payments').,Finance Access Owner,David Brandt,Direct,,True,-27,retain,recent_login<=30d (-10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),99.0,2020-10-11|Joiner|Eintritt ins Unternehmen;2021-08-26|Grant|Berechtigung 'approve_payments' zugewiesen;2025-10-17|Recert|Letzte Rezertifizierung (bestätigt);2026-02-28|Login|Letzter Login
CASE-0034,USR-4673,Finance,,BI,Admin,read_reports,2022-06-20,2023-01-22,,2025-09-07,active,199,490,medium,0,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'read_reports').,Data Governance Team,Nina Weber,Direct,,True,60,review,inactive_login>120d (+35); stale_access>365d (+30); medium_privilege (+10); no_toxic_combination (-15); sensitive_role (+10); no_department_change (-5); active_user (-5),64.0,2022-06-20|Joiner|Eintritt ins Unternehmen;2023-01-22|Grant|Berechtigung 'read_reports' zugewiesen;2025-08-25|Login|Letzter Login;2025-09-07|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0035,USR-3749,Finance,Legal,Ticketing,Employee,admin_console,2021-01-21,2021-05-24,2024-08-21,2025-09-16,active,191,367,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'Ticketing' (Berechtigung: 'admin_console').,Security Operations Owner,Lars Hoffmann,Direct,,True,50,review,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); dept_change_privilege_creep (+15); active_user (-5),71.0,2021-01-21|Joiner|Eintritt ins Unternehmen;2021-05-24|Grant|Berechtigung 'admin_console' zugewiesen;2024-08-21|Mover|Abteilungswechsel von Legal nach Finance;2025-09-02|Login|Letzter Login;2025-09-16|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0036,USR-4978,Sales,,ERP,Employee,user_support,2022-11-05,2023-08-27,,2026-01-27,active,197,154,high,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Pia Walter,Role-derived,Sales_Employee_Base,True,43,review,inactive_login>120d (+35); stale_access>90d (+8); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),61.2,2022-11-05|Joiner|Eintritt ins Unternehmen;2023-08-27|Grant|Berechtigung 'user_support' zugewiesen;2025-08-27|Login|Letzter Login;2026-01-27|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0037,USR-9031,Legal,,ERP,Manager,export_data,2019-10-23,2020-04-18,,2025-10-13,active,92,325,high,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Sara Vogel,Role-derived,Legal_Manager_Base,True,38,review,inactive_login>60d (+20); stale_access>180d (+18); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),54.2,2019-10-23|Joiner|Eintritt ins Unternehmen;2020-04-18|Grant|Berechtigung 'export_data' zugewiesen;2025-10-13|Recert|Letzte Rezertifizierung (bestätigt);2025-12-10|Login|Letzter Login
CASE-0038,USR-5397,Operations,,IAM,Analyst,approve_payments,2022-05-18,2023-03-30,,,active,22,142,high,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Tim Behrens,Role-derived,Operations_Analyst_Base,True,-2,retain,recent_login<=30d (-10); stale_access>90d (+8); high_privilege (+25); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2022-05-18|Joiner|Eintritt ins Unternehmen;2023-03-30|Grant|Berechtigung 'approve_payments' zugewiesen;2026-02-18|Login|Letzter Login
CASE-0039,USR-6576,IT,,IAM,Analyst,admin_console,2023-02-13,2023-02-28,,,active,179,450,low,0,Direkte Zuweisung für eine operative Tätigkeit in 'IAM' (Berechtigung: 'admin_console').,Security Operations Owner,Sven Berger,Direct,,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2023-02-13|Joiner|Eintritt ins Unternehmen;2023-02-28|Grant|Berechtigung 'admin_console' zugewiesen;2025-09-14|Login|Letzter Login
CASE-0040,USR-2524,Legal,,IAM,Analyst,approve_payments,2024-10-29,2025-08-10,,2025-03-20,active,103,354,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Finance Access Owner,Markus Hahn,Role-derived,Legal_Analyst_Base,True,3,retain,inactive_login>60d (+20); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),94.8,2024-10-29|Joiner|Eintritt ins Unternehmen;2025-03-20|Recert|Letzte Rezertifizierung (bestätigt);2025-08-10|Grant|Berechtigung 'approve_payments' zugewiesen;2025-11-29|Login|Letzter Login
CASE-0041,USR-6169,Legal,,ERP,Manager,user_support,2024-02-13,2024-11-21,,2025-06-18,active,137,486,medium,0,Berechtigung ist für die Rolle 'Manager' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,Sara Vogel,Role-derived,Legal_Manager_Base,True,50,review,inactive_login>120d (+35); stale_access>365d (+30); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),71.0,2024-02-13|Joiner|Eintritt ins Unternehmen;2024-11-21|Grant|Berechtigung 'user_support' zugewiesen;2025-06-18|Recert|Letzte Rezertifizierung (bestätigt);2025-10-26|Login|Letzter Login
CASE-0042,USR-1231,Finance,,BI,Employee,admin_console,2025-12-16,2026-02-22,,2025-08-13,active,32,140,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Lars Hoffmann,Role-derived,Finance_Employee_Base,True,-17,retain,inactive_login>30d (+10); stale_access>90d (+8); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2025-08-13|Recert|Letzte Rezertifizierung (bestätigt);2025-12-16|Joiner|Eintritt ins Unternehmen;2026-02-08|Login|Letzter Login;2026-02-22|Grant|Berechtigung 'admin_console' zugewiesen
